Castellano,Aurebesh
a,aurek
b,besh
c,cresh
d,dorn
e,esk
f,forn
g,grek
h,herf
i,isk
j,jenth
k,krill
l,leth
m,merm
n,nern
o,osk
p,peth
q,qek
r,resh
s,senth
t,trill
u,usk
v,vev
w,wesk
x,xesh
y,yirt
z,zerek
fe,fornesk
me,mermesk
sol,senthoskleth
mar,mermaurekresh
ti,trillisk
fez,forneskzerek
paz,pethaurekzerek
pie,pethiskesk
voz,vevoskzerek
ley,letheskyirt
flor,fornlethoskresh
dios,dorniskosksenth
pan,pethaureknern
sal,senthaurekleth
rey,resheskyirt
rio,reshiskosk
luz,lethuskzerek
fiel,forniskeskleth
miel,mermiskeskleth
tren,trillreshesknern
ola,osklethaurek
oro,oskreshosk
ojo,oskjenthosk
cielo,creshiskesklethosk
hielo,herfiskesklethosk
vino,vevisknernosk
lago,lethaurekgrekosk
ruta,reshusktrillaurek
cama,creshaurekmermaurek
bar,beshaurekresh
luna,lethusknernaurek
gato,grekaurektrillosk
huevo,herfuskeskvevosk
fuego,fornuskeskgrekosk
juez,jenthuskeskzerek
casa,creshaureksenthaurek
taza,trillaurekzerekaurek
paz,pethaurekzerek
caja,creshaurekjenthaurek
barco,beshaurekreshcreshosk
perro,petheskreshreshosk
agua,aurekgrekuskaurek
llave,lethlethaurekvevesk
zapato,zerekaurekpethaurektrillosk
foto,fornosktrillosk
mapa,mermaurekpethaurek
hilo,herfisklethosk
techo,trilleskcreshherfosk
mesa,mermesksenthaurek
cine,creshisknernesk
tigre,trilliskgrekreshesk
nino,nernisknernosk
mano,mermaureknernosk
algo,aureklethgrekosk
mesa,mermesksenthaurek
mal,mermaurekleth
feo,forneskosk
lobo,lethoskbeshosk
tos,trillosksenth
cola,creshosklethaurek
piso,pethisksenthosk
nube,nernuskbeshesk
paja,pethaurekjenthaurek
cero,cresheskreshosk
alma,aureklethmermaurek
bote,beshosktrillesk
bondad,beshosknerndornaurekdorn
buda,beshuskdornaurek
caro,creshaurekreshosk
cana,creshaureknernaurek
coco,creshoskcreshosk
cura,creshuskreshaurek
dar,dornaurekresh
darlo,dornaurekreshlethosk
deuda,dorneskuskdornaurek
doce,dornoskcreshesk
duelo,dornuskesklethosk
duro,dornuskreshosk
eco,eskcreshosk
ego,eskgrekosk
emocion,eskmermoskcreshiskosknern
enero,esknerneskreshosk
entrada,esknerntrillreshaurekdornaurek
error,eskreshreshoskresh
este,esksenthtrillesk
euro,eskuskreshosk
exceso,eskxeshcreshesksenthosk
extra,eskxeshtrillreshaurek
falta,fornaureklethtrillaurek
fama,fornaurekmermaurek
faro,fornaurekreshosk
fase,fornaureksenthesk
fino,fornisknernosk
fue,fornuskesk
gema,grekeskmermaurek
genero,grekesknerneskreshosk
genio,grekesknerniskosk
gitano,grekisktrillaureknernosk
goma,grekoskmermaurek
gorro,grekoskreshreshosk
gusto,grekusksenthtrillosk
hacha,herfaurekcreshherfaurek
halcon,herfaureklethcreshosknern
helado,herfesklethaurekdornosk
heroico,herfeskreshoskiskcreshosk
hoy,herfoskyirt
humano,herfuskmermaureknernosk
humo,herfuskmermosk
huevo,herfuskeskvevosk
iba,iskbeshaurek
iglesia,iskgreklethesksenthiskaurek
iman,iskmermaureknern
indice,isknerndorniskcreshesk
infierno,isknernforniskeskreshnernosk
inutil,isknernusktrilliskleth
iran,iskreshaureknern
jardin,jenthaurekreshdornisknern
jamon,jenthaurekmermosknern
jazmin,jenthaurekzerekmermisknern
joven,jenthoskvevesknern
juego,jenthuskeskgrekosk
kilo,krillisklethosk
koala,krilloskaureklethaurek
lazo,lethaurekzerekosk
leal,letheskaurekleth
legal,letheskgrekaurekleth
leon,letheskosknern
letra,lethesktrillreshaurek
libro,lethiskbeshreshosk
lima,lethiskmermaurek
lindo,lethisknerndornosk
lista,lethisksenthtrillaurek
loco,lethoskcreshosk
loro,lethoskreshosk
lujo,lethuskjenthosk
